,closing_prices
2021-01-27,3.028556732874726
2021-01-28,2.7492230416607892
2021-01-29,3.2046055551140675
2021-01-30,3.0417540515548906
2021-01-31,2.99735010398966
2021-02-01,3.259342497646706
2021-02-02,3.1053741946757945
2021-02-03,2.9259652478519964
2021-02-04,2.8791416374088707
2021-02-05,2.8240705058407953
2021-02-06,3.908595149142175
2021-02-07,3.7774756458631953
2021-02-08,3.595279673163218
2021-02-09,4.50022215355109
2021-02-10,5.383624966512707
2021-02-11,4.810186890135523
2021-02-12,5.471702368403374
2021-02-13,7.480502587756761
2021-02-14,13.079105160659847
2021-02-15,15.653104186652213
2021-02-16,16.839109644236345
2021-02-17,15.43456633976105
2021-02-18,11.639120860330113
2021-02-19,9.81297428105631
2021-02-20,7.746498862655709
2021-02-21,9.485210974931901
2021-02-22,11.498746266991256
2021-02-23,11.637993939022918
2021-02-24,9.984787990365067
2021-02-25,11.020747945675273
2021-02-26,8.979843801317315
2021-02-27,9.392081341580019
2021-02-28,8.260951498012199
2021-03-01,7.50955035984117
2021-03-02,11.411823339586002
2021-03-03,10.332367799231234
2021-03-04,11.331510284843468
2021-03-05,10.699053368528004
2021-03-06,11.898325634398471
2021-03-07,13.476531760093863
2021-03-08,11.588027599102055
2021-03-09,9.64500793334415
2021-03-10,10.932481822145174
2021-03-11,10.235404171880752
2021-03-12,10.351097718688171
2021-03-13,8.988401002485597
2021-03-14,9.633771406802055
2021-03-15,10.153123036539556
2021-03-16,10.056168098114215
2021-03-17,9.759782252590464
2021-03-18,9.481986702088044
2021-03-19,9.322528363232173
2021-03-20,9.301672378577384
2021-03-21,9.369878337908904
2021-03-22,9.300673269134686
2021-03-23,9.647840677695392
2021-03-24,10.80291937656344
2021-03-25,9.63685529335122
2021-03-26,10.484259350481112
2021-03-27,10.69294093043519
2021-03-28,10.130480185453223
2021-03-29,10.828615022350064
2021-03-30,11.541550963818201
2021-03-31,11.386069398978337
2021-04-01,11.02961869886315
2021-04-02,10.185567716745153
2021-04-03,10.247017027735659
2021-04-04,9.79502353955297
2021-04-05,10.347986270564697
2021-04-06,10.764076555773292
