Date Raw;Date Parsed;Sales Count;Volume;Volume USD;Cummulative Volume;Cummulative Volume USD
1570924800000;10/13/2019;1;0.6;107.968;305.3754423591221;70979.61499999998
1571011200000;10/14/2019;9;0.24899999999999997;45.138999999999996;305.6244423591221;71024.75399999997
1571097600000;10/15/2019;4;6.3229999999999995;1179.973;311.9474423591221;72204.72699999997
1571184000000;10/16/2019;1;0.15081828703703704;27.26;312.09826064615913;72231.98699999996
1571270400000;10/17/2019;4;1.3;227.57;313.39826064615914;72459.55699999997
1571356800000;10/18/2019;0;0;0;313.39826064615914;72459.55699999997
1571443200000;10/19/2019;0;0;0;313.39826064615914;72459.55699999997
1571529600000;10/20/2019;4;0.21500000000000002;36.949000000000005;313.6132606461591;72496.50599999996
1571616000000;10/21/2019;0;0;0;313.6132606461591;72496.50599999996
1571702400000;10/22/2019;0;0;0;313.6132606461591;72496.50599999996
1571788800000;10/23/2019;3;0.22749999999999998;38.999;313.84076064615914;72535.50499999996
1571875200000;10/24/2019;2;2.13;344.174;315.97076064615914;72879.67899999996
1571961600000;10/25/2019;1;0.085;13.658;316.0557606461591;72893.33699999996
1572048000000;10/26/2019;6;2.3912766975308646;433.905;318.44703734369;73327.24199999995
1572134400000;10/27/2019;7;1.34434375;241.356;319.79138109369;73568.59799999995
1572220800000;10/28/2019;14;0.6013711805555557;110.40199999999999;320.39275227424554;73678.99999999996
1572307200000;10/29/2019;6;0.04309151836419753;7.837999999999999;320.4358437926097;73686.83799999996
1572393600000;10/30/2019;1;0.014897280092592592;2.838;320.45074107270233;73689.67599999996
1572480000000;10/31/2019;3;0.11275;20.648;320.56349107270233;73710.32399999996
1572566400000;11/01/2019;0;0;0;320.56349107270233;73710.32399999996
1572652800000;11/02/2019;3;0.25;45.765;320.81349107270233;73756.08899999996
1572739200000;11/03/2019;8;0.9082985615079366;166.414;321.72178963421027;73922.50299999997
1572825600000;11/04/2019;0;0;0;321.72178963421027;73922.50299999997
1572912000000;11/05/2019;3;0.008518843750000001;1.5830000000000002;321.73030847796025;73924.08599999997
1572998400000;11/06/2019;1;1.85;349.957;323.5803084779603;74274.04299999996
1573084800000;11/07/2019;2;0.28;53.564;323.86030847796025;74327.60699999996
1573171200000;11/08/2019;1;2.4;448.36;326.2603084779602;74775.96699999996
1573257600000;11/09/2019;1;0.10056944444444445;18.472;326.36087792240465;74794.43899999995
1573344000000;11/10/2019;0;0;0;326.36087792240465;74794.43899999995
1573430400000;11/11/2019;1;0.05659151234567902;10.698;326.41746943475033;74805.13699999996
1573516800000;11/12/2019;1;0.1;18.484;326.51746943475035;74823.62099999996
1573603200000;11/13/2019;2;0.11204066898148149;20.936;326.62951010373183;74844.55699999996
1573689600000;11/14/2019;0;0;0;326.62951010373183;74844.55699999996
1573776000000;11/15/2019;11;12.009105902777787;2219.1470000000004;338.6386160065096;77063.70399999995
1573862400000;11/16/2019;0;0;0;338.6386160065096;77063.70399999995
1573948800000;11/17/2019;0;0;0;338.6386160065096;77063.70399999995
1574035200000;11/18/2019;1;0.02;3.68;338.6586160065096;77067.38399999995
1574121600000;11/19/2019;2;0.003875372608024692;0.692;338.6624913791176;77068.07599999994
1574208000000;11/20/2019;13;0.41000000000000014;72.08599999999998;339.07249137911765;77140.16199999994
1574294400000;11/21/2019;1;2;349.609;341.07249137911765;77489.77099999994
1574380800000;11/22/2019;1;0.006;0.967;341.0784913791176;77490.73799999994
1574467200000;11/23/2019;9;0.7848264322016462;117.66499999999999;341.8633178113193;77608.40299999993
1574553600000;11/24/2019;13;0.7472877616126544;113.56200000000001;342.61060557293195;77721.96499999994
