Date Raw;Date Parsed;Normal;Normal USD;Origin;Origin USD;Meo;Meo USD;Meo2;Meo2 USD;Mystic1;Mystic1 USD;Mystic2;Mystic2 USD;Mystic3;Mystic3 USD;Mystic4;Mystic4 USD
1521936000000;03/25/2018;0;0;0.1510190552083333;78.4522;0;0;0;0;0.6078263871693121;315.75699999999995;0;0;0;0;0;0
1522022400000;03/26/2018;0;0;0.211199038141835;109.69936363636363;0;0;0;0;0.6751449642030424;350.69624999999996;0.9591971450617284;498.186;0;0;0;0
1522108800000;03/27/2018;0;0;0.17717650392909357;90.27773684210524;0;0;0;0;0.5908925854460612;302.4411666666667;0.9906116898148147;505.86699999999996;0;0;0;0
1522195200000;03/28/2018;0;0;0.1697663937665344;85.92961904761903;0;0;0;0;0.6293365018109096;314.4045714285715;1.0924893518518517;539.4091999999999;0;0;0;0
1522281600000;03/29/2018;0;0;0.18050081765801126;89.77673913043478;0;0;0;0;0.644714068356849;318.8973333333334;1.0924893518518517;539.4091999999999;0;0;0;0
1522368000000;03/30/2018;0;0;0.1960355790550595;92.15110714285713;0;0;0;0;0.6588797325500199;309.51963157894744;1.4140558449074072;618.901125;0;0;0;0
1522454400000;03/31/2018;0;0;0.2007652540911447;90.45662162162161;0;0;0;0;0.6726687918243022;301.7657692307693;1.395827417695473;605.0407777777777;0;0;0;0
1522540800000;04/01/2018;0;0;0.2007652540911447;90.45662162162161;0;0;0;0;0.6666105855427438;298.05218518518524;1.3062343364197528;564.3224;0;0;0;0
1522627200000;04/02/2018;0;0;0.1890172290139033;83.19673913043478;0;0;0;0;0.6442183541489631;285.0303333333334;1.3062343364197528;564.3224;0;0;0;0
1522713600000;04/03/2018;0;0;0.18835271782547897;81.91572549019608;0;0;0;0;0.6371751321513264;281.1225483870968;1.3062343364197528;564.3224;0;0;0;0
1522800000000;04/04/2018;0;0;0.18695698099396746;81.07263636363636;0;0;0;0;0.6371751321513264;281.1225483870968;1.3062343364197528;564.3224;0;0;0;0
1522886400000;04/05/2018;0;0;0.2013578365991174;86.1989649122807;0;0;0;0;0.6371751321513264;281.1225483870968;1.3062343364197528;564.3224;0;0;0;0
1522972800000;04/06/2018;0;0;0.19808432322108901;83.979640625;0;0;0;0;0.5959243203832264;256.4456829268293;1.3147584876543208;561.9521818181819;0;0;0;0
1523059200000;04/07/2018;0;0;0.19383807435240305;81.49128571428574;0;0;0;0;0.6055451698979114;259.14730952380955;1.3147584876543208;561.9521818181819;0;0;0;0
1523145600000;04/08/2018;0;0;0.20388790987619881;84.44925000000002;0;0;0;0;0.6040443211618209;256.22804347826093;1.3218619470164608;559.85825;0;0;0;0
1523232000000;04/09/2018;0;0;0.20790123540933897;85.72343181818184;0;0;0;0;0.6101258077800784;257.9575416666667;1.450949489553656;608.4033846153845;0;0;0;0
1523318400000;04/10/2018;0;0;0.2122604393759283;87.2541157894737;0;0;0;0;0.6068579341519136;256.355306122449;1.450949489553656;608.4033846153845;0;0;0;0
1523404800000;04/11/2018;0;0;0.21324476021353808;87.66741237113403;0;0;0;0;0.6147207754688753;259.48198;1.450949489553656;608.4033846153845;9.5;3920.549;0;0
1523491200000;04/12/2018;0;0;0.21213105133316193;87.26153535353536;0;0;0;0;0.6147207754688753;259.48198;1.450949489553656;608.4033846153845;9.5;3920.549;0;0
1523577600000;04/13/2018;0;0;0.21842823623525554;90.66287128712874;0;0;0;0;0.621827068394472;264.5262307692308;1.4206733355379186;600.7916428571428;9.5;3920.549;0;0
1523664000000;04/14/2018;0;0;0.2206985476447138;91.93133333333336;0;0;0;0;0.6203415322536615;265.26433333333335;1.4492951131687242;621.0479333333334;9.5;3920.549;0;0
1523750400000;04/15/2018;0;0;0.22067362462887768;92.72923364485985;0;0;0;0;0.6215859837724745;268.08440350877197;1.4492951131687242;621.0479333333334;9.5;3920.549;0;0
1523836800000;04/16/2018;0;0;0.2280287710993316;98.76107627118648;0;0;0;0;0.6237546155001594;273.9479677419355;1.4492951131687242;621.0479333333334;9.5;3920.549;0;0
1523923200000;04/17/2018;0;0;0.22694850274639436;98.63164462809922;0;0;0;0;0.6237546155001594;273.9479677419355;1.458714168595679;632.9435000000001;9.5;3920.549;0;0
1524009600000;04/18/2018;0;0;0.23017023633044031;100.35638524590168;0;0;0;0;0.6237546155001594;273.9479677419355;1.458714168595679;632.9435000000001;9.5;3920.549;0;0
1524096000000;04/19/2018;0;0;0.23017023633044031;100.35638524590168;0;0;0;0;0.623338508241706;274.5067619047619;1.4846602033405956;653.5295294117648;9.5;3920.549;0;0
1524182400000;04/20/2018;0;0;0.2297216978236888;100.34632520325208;0;0;0;0;0.6220832968137395;275.023125;1.4855118267941763;664.4213333333333;9.5;3920.549;0;0
1524268800000;04/21/2018;0;0;0.22730117070962685;100.29458593750005;0;0;0;0;0.6220832968137395;275.023125;1.4510759582299604;655.2755789473684;9.5;3920.549;0;0
1524355200000;04/22/2018;0;0;0.2270895337273817;100.44774418604655;0;0;0;0;0.6220832968137395;275.023125;1.4510759582299604;655.2755789473684;9.5;3920.549;0;0
1524441600000;04/23/2018;0;0;0.22693045000625742;101.54391729323311;0;0;0;0;0.6220832968137395;275.023125;1.4755221603184625;682.38045;6.139556905864198;2817.9125;0;0
1524528000000;04/24/2018;0;0;0.23493580442146594;106.32791538461541;0;0;0;0;0.6195699843372131;271.28736666666657;1.4755221603184625;682.38045;6.139556905864198;2817.9125;0;0
