Date Raw;Date Parsed;Axie Presale ETH;Axie Presale USD;Land Presale ETH;Land Presale USD;Marketplace Fee ETH;Marketplace Fee USD;Breeding Fee ETH;Breeding Fee USD
1561680000000;06/28/2019;988.4278625790153;501703.51700000005;3918.464685079995;492788.0620000017;152.8399928212252;30060.284105000002;127.4340000000001;21109.43799999999
1561766400000;06/29/2019;988.4278625790153;501703.51700000005;3918.464685079995;492788.0620000017;153.10737379637817;30143.158425;127.9600000000001;21272.497999999992
1561852800000;06/30/2019;988.4278625790153;501703.51700000005;3918.464685079995;492788.0620000017;153.54637653340743;30284.268072500003;128.4480000000001;21429.389999999992
1561939200000;07/01/2019;988.4278625790153;501703.51700000005;3918.464685079995;492788.0620000017;153.82107985006098;30364.712030000002;128.7580000000001;21520.21999999999
1562025600000;07/02/2019;988.4278625790153;501703.51700000005;3921.164685079995;493585.2530000017;154.0774039712841;30440.393777500005;129.00000000000009;21591.73099999999
1562112000000;07/03/2019;988.4278625790153;501703.51700000005;3921.164685079995;493585.2530000017;154.6929067905751;30619.480235000003;129.5300000000001;21745.96099999999
1562198400000;07/04/2019;988.4278625790153;501703.51700000005;3921.164685079995;493585.2530000017;155.08982546581706;30740.211685000006;130.14200000000008;21932.00899999999
1562284800000;07/05/2019;988.4278625790153;501703.51700000005;3922.064685079995;493841.9510000017;155.4453981631573;30841.627947500005;130.7400000000001;22102.43899999999
1562371200000;07/06/2019;988.4278625790153;501703.51700000005;3922.064685079995;493841.9510000017;155.64180929473923;30898.191665000006;131.6380000000001;22361.062999999987
1562457600000;07/07/2019;988.4278625790153;501703.51700000005;3922.064685079995;493841.9510000017;155.73914889919035;30926.37911000001;132.1440000000001;22507.54999999999
1562544000000;07/08/2019;988.4278625790153;501703.51700000005;3922.064685079995;493841.9510000017;156.1098766465331;31039.575650000006;132.50000000000009;22616.30799999999
1562630400000;07/09/2019;988.4278625790153;501703.51700000005;3922.064685079995;493841.9510000017;156.91173023911398;31290.12781250001;133.0180000000001;22778.18299999999
1562716800000;07/10/2019;988.4278625790153;501703.51700000005;3922.064685079995;493841.9510000017;157.1353452974504;31358.95184500001;133.6460000000001;22971.606999999993
1562803200000;07/11/2019;988.4278625790153;501703.51700000005;3922.064685079995;493841.9510000017;157.95256824505583;31595.95458250001;134.0960000000001;23102.106999999993
1562889600000;07/12/2019;988.4278625790153;501703.51700000005;3922.5146850799947;493962.8370000017;158.21510562466955;31666.48138250001;134.6340000000001;23246.559999999994
1562976000000;07/13/2019;988.4278625790153;501703.51700000005;3922.5146850799947;493962.8370000017;158.48380465803632;31740.590907500013;135.6580000000001;23529.183999999994
1563062400000;07/14/2019;988.4278625790153;501703.51700000005;3922.5146850799947;493962.8370000017;158.74323863528056;31810.71973250001;136.0880000000001;23645.498999999993
1563148800000;07/15/2019;988.4278625790153;501703.51700000005;3922.5146850799947;493962.8370000017;158.7925054144072;31821.90938750001;136.3860000000001;23713.144999999993
1563235200000;07/16/2019;988.4278625790153;501703.51700000005;3922.5146850799947;493962.8370000017;158.83409535025788;31831.48255500001;136.4940000000001;23737.984999999993
1563321600000;07/17/2019;988.4278625790153;501703.51700000005;3922.5146850799947;493962.8370000017;158.917656656632;31848.18998750001;136.9200000000001;23823.184999999994
1563408000000;07/18/2019;988.4278625790153;501703.51700000005;3927.0146850799947;494911.6100000017;159.07416301699826;31881.18749750001;137.6460000000001;23976.370999999992
1563494400000;07/19/2019;988.4278625790153;501703.51700000005;3927.4646850799945;495011.11100000166;159.22171460130113;31914.57885250001;137.9660000000001;24048.85099999999
1563580800000;07/20/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;159.38509630646655;31950.704912500012;138.7280000000001;24217.25299999999
1563667200000;07/21/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;160.06655349949796;32106.73435500001;139.8280000000001;24469.152999999988
1563753600000;07/22/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;160.23240992523924;32144.243307500015;140.2880000000001;24573.112999999987
1563840000000;07/23/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;160.57514364584702;32218.840072500014;140.8580000000001;24697.08799999999
1563926400000;07/24/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;160.81155634834832;32269.315100000014;141.2120000000001;24772.66699999999
1564012800000;07/25/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;160.97962041756472;32305.818052500017;141.6900000000001;24876.39299999999
1564099200000;07/26/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;161.14883388506158;32342.958307500016;142.53200000000012;25061.21199999999
1564185600000;07/27/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;161.4284078745135;32404.347772500016;143.43000000000012;25258.322999999986
1564272000000;07/28/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;161.51282768914683;32421.783355000014;144.1000000000001;25396.677999999985
1564358400000;07/29/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;161.7412305150941;32470.028930000015;144.7820000000001;25540.579999999984
1564444800000;07/30/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;161.777298699442;32477.633072500015;145.4740000000001;25686.591999999982
1564531200000;07/31/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;161.91529712049035;32506.564012500014;145.8740000000001;25770.39199999998
1564617600000;08/01/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;162.0398949341805;32533.802730000014;146.2200000000001;25845.99299999998
1564704000000;08/02/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;162.06638458184426;32539.541250000013;146.7080000000001;25951.644999999982
1564790400000;08/03/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;162.1397065904916;32555.51058250001;147.13800000000012;26045.384999999984
1564876800000;08/04/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;162.2292719308846;32575.34163500001;147.5520000000001;26137.085999999985
1564963200000;08/05/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;162.31051892136202;32593.37767250001;148.0020000000001;26236.985999999986
1565049600000;08/06/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;162.5020092014247;32637.96110750001;148.4740000000001;26346.961999999985
1565136000000;08/07/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;162.59689815398565;32659.50261500001;149.0120000000001;26469.087999999985
1565222400000;08/08/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;162.81730680388046;32709.403267500013;150.01400000000012;26696.040999999987
1565308800000;08/09/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;162.8861918165227;32724.695660000012;150.64200000000014;26835.456999999988
1565395200000;08/10/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;162.9448013297002;32737.01267000001;151.13200000000015;26938.35699999999
1565481600000;08/11/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;163.13989572883568;32777.30088250001;151.90800000000016;27098.600999999988
1565568000000;08/12/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;163.26272172637235;32803.890582500004;152.96600000000015;27327.65799999999
1565654400000;08/13/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;163.6223882745074;32879.820907500005;153.59000000000015;27459.32199999999
1565740800000;08/14/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;163.6727893451594;32890.36821750001;154.36800000000014;27622.31299999999
1565827200000;08/15/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;163.729353381498;32900.869710000006;155.24200000000013;27784.43999999999
1565913600000;08/16/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;163.8335186894766;32920.468790000006;156.16000000000014;27957.023999999994
1566000000000;08/17/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;163.89124053866584;32931.156265000005;156.89600000000013;28093.183999999994
1566086400000;08/18/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;164.24254079062825;32996.41391000001;157.39200000000014;28185.439999999995
1566172800000;08/19/2019;988.4278625790153;501703.51700000005;3930.1646850799943;495608.11700000166;164.44986913412168;33036.709837500006;157.87400000000014;28279.188999999995
1566259200000;08/20/2019;988.4278625790153;501703.51700000005;3944.5646850799944;498530.73800000164;164.58867476904274;33064.88177000001;158.03400000000013;28311.668999999994
1566345600000;08/21/2019;988.4278625790153;501703.51700000005;3945.0146850799943;498619.0610000016;165.32570158332842;33209.54006500001;158.26200000000014;28356.470999999994
1566432000000;08/22/2019;988.4278625790153;501703.51700000005;3945.0146850799943;498619.0610000016;166.0163393422154;33338.70049750001;158.60200000000015;28420.050999999996
1566518400000;08/23/2019;988.4278625790153;501703.51700000005;3945.0146850799943;498619.0610000016;166.32710008012725;33398.21766500001;159.03400000000013;28502.778999999995
1566604800000;08/24/2019;988.4278625790153;501703.51700000005;3945.0146850799943;498619.0610000016;167.09423717717345;33547.20281750001;160.10600000000014;28710.746999999996
1566691200000;08/25/2019;988.4278625790153;501703.51700000005;3945.0146850799943;498619.0610000016;167.14922674111358;33557.68151750001;160.75600000000014;28834.571999999996
1566777600000;08/26/2019;988.4278625790153;501703.51700000005;3945.0146850799943;498619.0610000016;167.31695619159592;33588.93338250001;161.14800000000014;28907.679999999997
1566864000000;08/27/2019;988.4278625790153;501703.51700000005;3945.0146850799943;498619.0610000016;167.44578143643344;33613.20135000001;162.08800000000014;29084.87
1566950400000;08/28/2019;988.4278625790153;501703.51700000005;3945.464685079994;498703.1980000016;167.83578034327454;33686.12046500001;162.94800000000015;29245.69
1567036800000;08/29/2019;988.4278625790153;501703.51700000005;3945.464685079994;498703.1980000016;168.00184305990243;33714.85371750001;163.68200000000016;29372.672
1567123200000;08/30/2019;988.4278625790153;501703.51700000005;3945.464685079994;498703.1980000016;168.33214729456802;33770.60870250001;164.34200000000016;29484.212
1567209600000;08/31/2019;988.4278625790153;501703.51700000005;3945.464685079994;498703.1980000016;168.40152157277686;33782.31018500001;165.69600000000017;29712.360999999997
1567296000000;09/01/2019;988.4278625790153;501703.51700000005;3945.914685079994;498780.6310000016;168.552485263704;33808.28703750001;166.63800000000018;29874.384999999995
1567382400000;09/02/2019;988.4278625790153;501703.51700000005;3946.3646850799937;498857.4580000016;168.6322807236099;33821.91037000001;167.62400000000017;30042.497999999996
1567468800000;09/03/2019;988.4278625790153;501703.51700000005;3946.3646850799937;498857.4580000016;168.79599666445287;33851.00554000001;167.94600000000017;30099.652999999995
1567555200000;09/04/2019;988.4278625790153;501703.51700000005;3946.3646850799937;498857.4580000016;168.81319662800274;33854.08135000001;168.24600000000018;30153.352999999996
1567641600000;09/05/2019;988.4278625790153;501703.51700000005;3946.3646850799937;498857.4580000016;168.99089914835335;33885.13962750001;168.2960000000002;30162.102999999996
1567728000000;09/06/2019;988.4278625790153;501703.51700000005;3946.3646850799937;498857.4580000016;169.0315360065531;33892.21847000001;168.33000000000018;30168.018999999997
1567814400000;09/07/2019;988.4278625790153;501703.51700000005;3946.3646850799937;498857.4580000016;169.1537260957644;33912.92026250001;168.36000000000018;30173.103999999996
1567900800000;09/08/2019;988.4278625790153;501703.51700000005;3946.3646850799937;498857.4580000016;169.41257564521467;33958.95740500001;168.3800000000002;30176.663999999997
1567987200000;09/09/2019;988.4278625790153;501703.51700000005;3946.3646850799937;498857.4580000016;169.49581602133736;33974.064157500005;168.4000000000002;30180.293999999998
1568073600000;09/10/2019;988.4278625790153;501703.51700000005;3953.1146850799937;500079.3070000016;169.51264505814552;33977.11047250001;168.4580000000002;30190.791999999998
1568160000000;09/11/2019;988.4278625790153;501703.51700000005;3953.1146850799937;500079.3070000016;169.53172283081577;33980.547235000005;168.4820000000002;30195.111999999997
1568246400000;09/12/2019;988.4278625790153;501703.51700000005;3953.1146850799937;500079.3070000016;169.74624665130838;34018.75027250001;168.5080000000002;30199.739999999998
1568332800000;09/13/2019;988.4278625790153;501703.51700000005;3953.1146850799937;500079.3070000016;169.9444258610831;34054.622780000005;168.54600000000022;30206.618
1568419200000;09/14/2019;988.4278625790153;501703.51700000005;3953.1146850799937;500079.3070000016;170.38397710783946;34134.27466500001;168.64400000000023;30224.356
1568505600000;09/15/2019;988.4278625790153;501703.51700000005;3953.1146850799937;500079.3070000016;170.44122192707556;34145.054192500014;168.66800000000023;30228.88
1568592000000;09/16/2019;988.4278625790153;501703.51700000005;3953.1146850799937;500079.3070000016;170.51903453504517;34159.780825000016;168.70800000000023;30236.460000000003
1568678400000;09/17/2019;988.4278625790153;501703.51700000005;3953.1146850799937;500079.3070000016;170.55692211445353;34167.267540000015;168.71600000000024;30238.040000000005
