Date Raw;Date Parsed;Sales Count;Volume;Volume USD;Cummulative Volume;Cummulative Volume USD
1552694400000;03/16/2019;77;7.573926192807536;1033.4450000000008;2616.6776207029293;533109.968
1552780800000;03/17/2019;51;5.246105798256108;740.162;2621.9237265011852;533850.13
1552867200000;03/18/2019;71;6.035944338853248;836.2850000000003;2627.9596708400386;534686.415
1552953600000;03/19/2019;63;6.178421679772928;850.5090000000001;2634.1380925198114;535536.924
1553040000000;03/20/2019;48;5.809288720389662;804.7179999999998;2639.947381240201;536341.642
1553126400000;03/21/2019;50;3.2559878319499562;452.83399999999995;2643.203369072151;536794.476
1553212800000;03/22/2019;126;47.96343286741991;6477.747999999998;2691.166801939571;543272.224
1553299200000;03/23/2019;67;131.08181237291842;17840.17299999999;2822.2486143124897;561112.397
1553385600000;03/24/2019;83;6.104477719714507;837.5260000000003;2828.353092032204;561949.923
1553472000000;03/25/2019;75;10.650457125753226;1449.070000000001;2839.0035491579574;563398.9929999999
1553558400000;03/26/2019;85;75.82597568307025;10146.852999999992;2914.8295248410277;573545.8459999999
1553644800000;03/27/2019;77;24.910717504657175;3338.7819999999997;2939.7402423456847;576884.6279999999
1553731200000;03/28/2019;51;3.943352236758706;550.6350000000001;2943.683594582443;577435.2629999999
1553817600000;03/29/2019;46;3.9684623342258663;546.8970000000002;2947.652056916669;577982.1599999999
1553904000000;03/30/2019;93;12.35545910223765;1768.6399999999996;2960.0075160189067;579750.7999999999
1553990400000;03/31/2019;77;28.784938778081234;4095.7999999999997;2988.792454796988;583846.6
1554076800000;04/01/2019;40;21.355838575832237;3023.6970000000006;3010.1482933728203;586870.297
1554163200000;04/02/2019;72;15.737359894187913;2227.063;3025.8856532670084;589097.36
1554249600000;04/03/2019;37;5.994029832947532;983.3249999999997;3031.879683099956;590080.6849999999
1554336000000;04/04/2019;46;3.443094462191357;552.3839999999999;3035.322777562147;590633.0689999999
1554422400000;04/05/2019;51;6.500722369901896;1023.2890000000002;3041.823499932049;591656.3579999999
1554508800000;04/06/2019;54;10.679983488334068;1763.68;3052.503483420383;593420.038
1554595200000;04/07/2019;57;6.426243591543655;1062.422;3058.929727011927;594482.46
1554681600000;04/08/2019;49;3.6349151786541003;632.8050000000003;3062.564642190581;595115.265
1554768000000;04/09/2019;40;2.737259669973543;492.7349999999999;3065.301901860554;595608
1554854400000;04/10/2019;65;2.2320304207451502;391.259;3067.5339322812993;595999.259
1554940800000;04/11/2019;68;3.239501142526455;574.451;3070.7734334238257;596573.71
1555027200000;04/12/2019;73;2.789191305500439;460.3169999999998;3073.562624729326;597034.027
1555113600000;04/13/2019;44;2.9418545732197967;484.14399999999983;3076.504479302546;597518.171
1555200000000;04/14/2019;41;1.6262673217592591;266.65999999999997;3078.130746624305;597784.831
1555286400000;04/15/2019;55;5.246152538315695;879.3520000000001;3083.3768991626207;598664.183
1555372800000;04/16/2019;57;8.89345378587963;1427.6840000000004;3092.2703529485;600091.867
1555459200000;04/17/2019;40;4.521818085593034;752.8140000000001;3096.7921710340934;600844.681
1555545600000;04/18/2019;60;3.262100264467592;542.577;3100.054271298561;601387.258
1555632000000;04/19/2019;75;30.733147685504836;5329.554000000004;3130.787418984066;606716.812
1555718400000;04/20/2019;116;7.48124468634259;1295.9679999999992;3138.2686636704084;608012.78
1555804800000;04/21/2019;63;5.571699575771283;964.8320000000002;3143.8403632461795;608977.6120000001
1555891200000;04/22/2019;49;2.9297533497942396;498.03100000000006;3146.770116595974;609475.643
1555977600000;04/23/2019;70;7.258094152217444;1241.45;3154.028210748191;610717.093
1556064000000;04/24/2019;118;9.377014842083327;1602.6509999999998;3163.4052255902743;612319.744
1556150400000;04/25/2019;128;7.191587544126615;1191.4180000000001;3170.596813134401;613511.1619999999
1556236800000;04/26/2019;78;4.267536821437589;656.904;3174.864349955839;614168.0659999999
1556323200000;04/27/2019;127;29.202035400471345;4595.6939999999995;3204.06638535631;618763.7599999999
1556409600000;04/28/2019;114;6.995671397941465;1107.338;3211.0620567542514;619871.0979999999
1556496000000;04/29/2019;118;16.776304961417253;2627.096000000001;3227.8383617156687;622498.1939999999
1556582400000;04/30/2019;80;11.368712366511092;1751.6880000000006;3239.20707408218;624249.8819999999
1556668800000;05/01/2019;109;9.311528510218983;1496.776999999999;3248.518602592399;625746.6589999999
1556755200000;05/02/2019;99;11.607188952958433;1851.226000000001;3260.1257915453575;627597.8849999999
1556841600000;05/03/2019;82;5.478268395246983;881.7699999999999;3265.6040599406047;628479.6549999999
1556928000000;05/04/2019;104;5.884807051019616;980.6030000000002;3271.4888669916245;629460.2579999999
1557014400000;05/05/2019;87;9.163154614022792;1492.0910000000008;3280.6520216056474;630952.3489999999
1557100800000;05/06/2019;75;8.995918871858464;1460.6689999999992;3289.647940477506;632413.0179999999
1557187200000;05/07/2019;48;4.300458218561691;743.2399999999998;3293.9483986960677;633156.2579999999
1557273600000;05/08/2019;78;4.530961129253196;770.7030000000002;3298.479359825321;633926.9609999999
1557360000000;05/09/2019;96;5.854867263648202;995.9729999999995;3304.334227088969;634922.9339999999
1557446400000;05/10/2019;80;65.01283293698194;11089.595999999996;3369.3470600259507;646012.5299999999
1557532800000;05/11/2019;76;18.39746972727899;3176.912;3387.7445297532295;649189.4419999999
1557619200000;05/12/2019;75;6.073204198084037;1194.5400000000002;3393.8177339513136;650383.982
